MatchHistory,TeamColor,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040096?gameHash=bc68309937870981,Blue,Kassadin,Rumble,Veigar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040103?gameHash=a533f17d4bb03191,Blue,Morgana,Rumble,Lulu,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040111?gameHash=ca91673c6bf73b8c,Blue,Thresh,Zed,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040117?gameHash=50ad455b65d0dc4a,Blue,Kassadin,Rumble,Thresh,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040123?gameHash=4ed8e2415375e46a,Blue,Zed,Annie,Sion,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040132?gameHash=1a0b4fb7d835dfe3,Blue,Irelia,JarvanIV,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040142?gameHash=829819eb50b6fb17,Blue,Annie,RekSai,Hecarim,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040154?gameHash=9272190b156f9bfc,Blue,Veigar,Maokai,Janna,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040161?gameHash=7fc7f4aac6a34613,Blue,Kennen,Annie,Irelia,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040172?gameHash=ff0fdf86f60bcf5d,Blue,Rumble,Kassadin,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070013?gameHash=6a8317d85932ae7b,Blue,Nidalee,JarvanIV,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070015?gameHash=07f89ba08ad1f2b3,Blue,Kalista,Rumble,Kennen,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070035?gameHash=035f73b1b70fb706,Blue,Janna,Rumble,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070042?gameHash=dbec95dc7669c1c7,Blue,Nidalee,Maokai,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070051?gameHash=3ed5ca8c2fcd81cd,Blue,Irelia,Maokai,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070068?gameHash=b1130cf8f9c5e772,Blue,Sivir,Lulu,Rumble,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070069?gameHash=4e2dfb93a17542c8,Blue,Irelia,Leblanc,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070075?gameHash=3727ce1de86ecc9f,Blue,LeeSin,Rumble,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070082?gameHash=58f8b7117f1a7717,Blue,Kennen,Zed,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070089?gameHash=ba06b386c0eeec8e,Blue,Morgana,Leblanc,Maokai,,
