iter	Passed	Remaining
676	2683	1280
677	2687	1276
678	2692	1272
679	2696	1269
680	2700	1265
681	2704	1261
682	2709	1257
683	2713	1253
684	2717	1249
685	2721	1245
686	2726	1242
687	2730	1238
688	2734	1234
689	2738	1230
690	2743	1226
691	2748	1223
692	2752	1219
693	2757	1215
694	2761	1211
695	2765	1207
696	2769	1203
697	2774	1200
698	2779	1196
699	2782	1192
700	2787	1188
701	2791	1185
702	2795	1181
703	2799	1177
704	2804	1173
705	2808	1169
706	2812	1165
707	2816	1161
708	2822	1158
709	2826	1154
710	2830	1150
711	2834	1146
712	2839	1142
713	2843	1138
714	2848	1135
715	2853	1131
716	2858	1128
717	2862	1124
718	2866	1120
719	2871	1116
720	2875	1112
721	2879	1108
722	2884	1105
723	2889	1101
724	2894	1097
725	2898	1094
726	2904	1090
727	2908	1086
728	2912	1082
729	2918	1079
730	2922	1075
731	2926	1071
732	2929	1067
733	2935	1063
734	2939	1059
735	2943	1055
736	2947	1051
737	2952	1048
738	2956	1044
739	2960	1040
740	2964	1036
741	2968	1032
742	2972	1028
743	2976	1024
744	2980	1020
745	2984	1016
746	2988	1012
747	2992	1008
748	2996	1004
749	3000	1000
750	3004	996
751	3008	992
752	3013	988
753	3017	984
754	3021	980
755	3025	976
756	3029	972
757	3033	968
758	3037	964
759	3041	960
760	3045	956
761	3049	952
762	3052	948
763	3056	944
764	3060	940
765	3064	936
766	3068	932
767	3071	927
768	3075	923
769	3079	919
770	3083	915
771	3087	911
772	3091	907
773	3095	903
774	3098	899
775	3102	895
776	3106	891
777	3110	887
778	3113	883
779	3119	879
780	3125	876
781	3130	872
782	3134	868
783	3144	866
784	3151	863
785	3158	859
786	3163	856
787	3168	852
788	3173	848
789	3177	844
790	3182	840
791	3189	837
792	3197	834
793	3203	831
794	3211	828
795	3223	826
796	3237	824
797	3243	820
798	3248	817
799	3254	813
800	3268	812
801	3278	809
802	3289	807
803	3296	803
804	3301	799
805	3309	796
806	3314	792
807	3320	789
808	3325	785
809	3330	781
810	3336	777
811	3343	774
812	3357	772
813	3363	768
814	3371	765
815	3377	761
816	3384	758
817	3390	754
818	3394	750
819	3400	746
820	3404	742
821	3409	738
822	3416	734
823	3421	730
824	3426	726
825	3431	722
826	3437	719
827	3442	715
828	3449	711
829	3455	707
830	3459	703
831	3464	699
832	3469	695
833	3473	691
834	3478	687
835	3484	683
836	3488	679
837	3494	675
838	3499	671
839	3504	667
840	3509	663
841	3513	659
842	3517	655
843	3522	651
844	3527	647
845	3532	643
846	3536	638
847	3542	634
848	3546	630
849	3550	626
850	3554	622
851	3559	618
852	3563	614
853	3568	609
854	3572	605
855	3577	601
856	3581	597
857	3585	593
858	3590	589
859	3594	585
860	3598	580
861	3602	576
862	3607	572
863	3611	568
864	3615	564
865	3620	560
866	3624	556
867	3629	551
868	3633	547
869	3638	543
870	3642	539
871	3646	535
872	3650	531
873	3655	526
874	3659	522
875	3663	518
876	3668	514
877	3672	510
878	3677	506
879	3682	502
880	3687	498
881	3692	494
882	3697	489
883	3702	485
884	3707	481
885	3712	477
886	3716	473
887	3721	469
888	3726	465
889	3732	461
890	3739	457
891	3749	454
892	3755	449
893	3761	445
894	3767	442
895	3776	438
896	3783	434
897	3789	430
898	3794	426
899	3801	422
900	3806	418
901	3812	414
902	3818	410
903	3824	406
904	3830	402
905	3836	398
906	3842	394
907	3849	390
908	3854	385
909	3859	381
910	3866	377
911	3871	373
912	3875	369
913	3881	365
914	3886	361
915	3891	356
916	3897	352
917	3903	348
918	3908	344
919	3914	340
920	3919	336
921	3923	331
922	3929	327
923	3934	323
924	3938	319
925	3943	315
926	3948	310
927	3953	306
928	3958	302
929	3963	298
930	3968	294
931	3973	289
932	3979	285
933	3983	281
934	3989	277
935	3993	273
936	3998	268
937	4003	264
938	4008	260
939	4013	256
940	4018	251
941	4023	247
942	4028	243
943	4032	239
944	4037	234
945	4042	230
946	4048	226
947	4053	222
948	4057	218
949	4062	213
950	4067	209
951	4072	205
952	4077	201
953	4081	196
954	4087	192
955	4092	188
956	4096	184
957	4102	179
958	4107	175
959	4111	171
960	4116	167
961	4121	162
962	4126	158
963	4131	154
964	4136	150
965	4141	145
966	4147	141
967	4151	137
968	4156	132
969	4160	128
970	4165	124
971	4170	120
972	4174	115
973	4180	111
974	4185	107
975	4190	103
976	4194	98
977	4199	94
978	4203	90
979	4208	85
980	4214	81
981	4219	77
982	4223	73
983	4230	68
984	4235	64
985	4240	60
986	4245	55
987	4249	51
988	4255	47
989	4262	43
990	4268	38
991	4273	34
992	4279	30
993	4284	25
994	4289	21
995	4295	17
996	4300	12
997	4305	8
998	4311	4
999	4315	0
